model,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,EFD@5,EPC@5,ARP@5,PopREO@5,PopRSP@5,ItemCoverage@5,UserCoverage@5
FeatureItemKNN,0.0781484406570083,0.0715004492362983,0.1018781473553437,0.1874850254567235,0.2805929919137466,1.1451880450763603,0.0842648571786987,54.39902964959568,0.2575788360441061,0.613025074051735,16477.0,22260.0
FeatureItemKNN,0.0781630154543771,0.0717340521114106,0.1020450683090762,0.1871480982330039,0.2804132973944295,1.1469760678072758,0.0844155726757461,55.06686433063791,0.2603028550184685,0.6142930683711221,16445.0,22260.0
LightGCN,0.1486169500657063,0.1151570600792924,0.160428886522631,0.2445700634630186,0.3918442033721082,1.6176545859706994,0.1250764355698877,110.53109397464384,0.6188365982553227,0.9208577668656528,11038.0,22953.0
FeatureItemKNN,0.210941495798156,0.1851871215091709,0.2453034513983541,0.3571973162549557,0.5308238574478281,2.72120188791934,0.2004028528632645,53.48981832440205,0.2658872440769998,0.6308023810834573,17208.0,22953.0
ItemKNN,0.211152564059451,0.1853962444996296,0.2456393026545704,0.3577498947123833,0.5308238574478281,2.724289716347269,0.2006354030431968,53.47558924759291,0.2663211070335821,0.6312211712259262,17187.0,22953.0
