model,Recall@20,Precision@20,nDCG@20,MRR@20,HR@20,EFD@20,EPC@20,ARP@20,PopREO@20,PopRSP@20,ItemCoverage@20,UserCoverage@20
Random,0.1046698446327683,0.0096795550847457,0.0429989737835012,0.0327681736122327,0.1763771186440678,0.0583463145710791,0.0085869456401892,84.163625529661,0.00964285519936,0.0071313485566407,186.0,3776.0
NeuMF,0.3742811743341404,0.035103283898305,0.222762272322582,0.2325820353606239,0.5545550847457628,0.238518018467445,0.039614709011101,263.1418961864407,0.6106191031031208,0.7407404952485503,38.0,3776.0
MultiVAE,0.5905408217312348,0.0557335805084745,0.3154101310229039,0.2791982985762051,0.7513241525423728,0.3546829119752108,0.0589369519846096,368.5456832627119,0.8764908046843859,0.9681816399656032,186.0,3776.0
GRCN,0.5803536748385795,0.0544226694915254,0.3225999479161068,0.2936471964242579,0.744968220338983,0.3806284197450711,0.0605402412466079,280.994782838983,0.4071133558737984,0.7911781336076413,186.0,3776.0
GRCN,0.6147639855730428,0.0578125,0.3432164470619119,0.3099842747894378,0.7685381355932204,0.4004983659186623,0.0642354075019557,311.41565148305085,0.4719049364589928,0.8546825455430579,186.0,3776.0
GRCN,0.6153664749798224,0.0580111228813559,0.3438935657620115,0.3131749801553609,0.7748940677966102,0.399290432184865,0.0643240031532529,328.316657838983,0.5569270325852363,0.8874779964908495,186.0,3776.0
MMGCN,0.6144171837167071,0.0572298728813559,0.3569787971875462,0.3421600897465451,0.7717161016949152,0.3726112772324066,0.0632186526999652,418.49822563559314,0.9797868093767764,0.998315248820996,58.0,3776.0
BiVAECF,0.6169396943099273,0.0574152542372881,0.357608541609201,0.340531583183172,0.7767478813559322,0.375082878122808,0.0634655525350677,406.0067002118644,0.981852279071338,0.9874861599331992,94.0,3776.0
MMGCN,0.6196015561945117,0.0576800847457627,0.3593768259330646,0.3427901607341597,0.7746292372881356,0.3741882318186599,0.0636470349956671,424.37465572033904,1.0,1.0,36.0,3776.0
GRCN,0.6362792574656981,0.0597325211864406,0.360197386131336,0.3264581093312108,0.7889300847457628,0.4143783742455506,0.0670257206046845,336.89560381355926,0.5743535292149485,0.9025807099222952,177.0,3776.0
MostPop,0.6200296988498789,0.0577727754237288,0.3603609454662471,0.343657592312942,0.7767478813559322,0.374898859592391,0.0638029854886534,426.6236626059322,1.0,1.0,36.0,3776.0
MMGCN,0.6150111607142857,0.0572298728813559,0.3585796817774643,0.3432592838827158,0.7751588983050848,0.3727786421826498,0.0634409922134454,424.3139565677966,1.0,1.0,36.0,3776.0
VBPR,0.6325498764124293,0.0592690677966101,0.36071630673575,0.3314356738266649,0.7907838983050848,0.4147219016457817,0.0669822249868755,329.2195180084745,0.5431902616527992,0.8855630335536473,186.0,3776.0
MMGCN,0.6220711006860371,0.057958156779661,0.3633086652002086,0.3479638847194589,0.7823093220338984,0.383479573320315,0.06462345055106,413.8754502118644,0.8994591863272264,0.9849944861263324,68.0,3776.0
VBPR,0.6232514880952381,0.0581965042372881,0.3636110207312329,0.3413611406046621,0.7820444915254238,0.4208352462307365,0.0675191993370538,316.035248940678,0.4797850891645397,0.8585984159951789,186.0,3776.0
LATTICE,0.6544797341606133,0.0614274364406779,0.3754183098599638,0.3444131953512221,0.809322033898305,0.4328683000773964,0.0697619349541364,332.2500132415254,0.5130788786560173,0.893923536609942,186.0,3776.0
VBPR,0.6537025827280064,0.0609904661016949,0.3767957450502986,0.3463545685006508,0.803760593220339,0.4332503928027933,0.069736506020079,335.589751059322,0.5382632511680361,0.8978398230611463,186.0,3776.0
VBPR,0.6478258676351897,0.0605534957627118,0.3756199892116129,0.3462651209226553,0.8029661016949152,0.4300412903473559,0.0694062806000289,334.3316472457627,0.5525156982840099,0.8968952832454911,186.0,3776.0
