model,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10
LATTICE,0.0005815093356445,0.0002200381399442,0.0003305389809176,0.0004119020841919,0.0022003813994425
Random,0.0008107279219501,0.0002567111632682,0.0005461598644984,0.0007562792365491,0.0025671116326829
BiVAECFM,0.013278773213013,0.0044374358222091,0.0107566495092642,0.0183233850481173,0.0416605544961126
BiVAECFM,0.0170162152171002,0.0057356608478803,0.0128413700062648,0.0201929233871437,0.0511221945137157
BiVAECFM,0.0162575372803329,0.0054024767801857,0.0129748035308036,0.0216797508477075,0.0501547987616099
MostPop,0.019006095234148,0.0061610679184391,0.0138359348683999,0.0209786574646483,0.0532492298665101
NeuMF,0.018401823119168,0.0059116913598357,0.0139109047392859,0.0212752723699621,0.0511221945137157
MMGCN,0.0720344793360113,0.0213290303652633,0.0515818333209304,0.0681046857645801,0.1662754877512102
MMGCN,0.0712122904350829,0.0205804953560371,0.0515123457017855,0.0678352744606614,0.1612229102167182
MMGCN,0.0752615607397413,0.0220918292504034,0.0537496376868689,0.071803684067143,0.1734634003227226
MMGCN,0.0729063693774904,0.0218131142731406,0.0544925560494577,0.0744051402772247,0.170382866363503
BiVAECFM,0.0886437139517571,0.0285609505647645,0.0665458548233767,0.0924100812394783,0.2105764999266539
GRCN,0.1762054966319774,0.0588675370397535,0.141616309606695,0.1961874608530028,0.3844799765292651
BM3,0.1972740690223925,0.0622707936042247,0.1539610935922949,0.2041546751701511,0.4068505207569312
BM3,0.1990902044849798,0.0624394895115153,0.1550508006256508,0.20556446186122,0.4111779375091682
LightGCNM,0.1946756432766768,0.0612439489511515,0.153477681933431,0.205315318147209,0.4042100630776001
LATTICE,0.2063896684546677,0.0611706029045034,0.1591677165473898,0.2081654232765425,0.4134516649552589
BM3,0.2022789314578959,0.0635543494205662,0.1581417311550967,0.2094627751349916,0.4146985477482763
GRCN,0.1931485436250955,0.0627988851400909,0.1559110597714354,0.2123685592275148,0.406703828663635
LightGCNM,0.201537787565249,0.0625715123954818,0.1585452919096949,0.2100981498168677,0.4097110165762065
FREEDOM,0.2077845346384764,0.0662241455185565,0.1635919944447885,0.2172049742590303,0.425480416605545
LightGCNM,0.2071398415271051,0.0652119700748129,0.1636864927130995,0.2170467272528296,0.4229133049728619
FREEDOM,0.2063357928557768,0.066165468681238,0.1635316328852467,0.2179274328185139,0.4227666128795658
FREEDOM,0.2084527820871751,0.0669942790083614,0.1649514505258213,0.2168368469582346,0.4226932668329177
BM3,0.2075518532212183,0.0639009287925696,0.1637407227746073,0.2164215071993709,0.4165634674922601
VBPR,0.1981722607265878,0.0611119260671849,0.1614708714592023,0.2175802615310463,0.3970954965527358
LightGCNM,0.2146318253152256,0.0656733746130031,0.1676731274374694,0.2188270308123249,0.4270897832817337
GRCN,0.2083639231874265,0.0673023324042834,0.167115291620566,0.2261236206868449,0.4325216370837612
FREEDOM,0.2172095944910639,0.0675464396284829,0.1712481724769831,0.2236522679247137,0.428250773993808
LATTICE,0.2263635645918952,0.0664473684210526,0.1752999693574021,0.2253028097203793,0.4395510835913312
LATTICE,0.2201250113419872,0.06685492151973,0.1728441156586445,0.2267529414093152,0.4378758984890714
BPRMF,0.2148856025040803,0.0654833504474108,0.171375923907082,0.2264741100097562,0.4259204928854335
GRCN,0.2131834398791467,0.0667647058823529,0.1736599084566404,0.2338624441004471,0.4240712074303405
VBPR,0.2204732395382372,0.0674930321255684,0.1756646100304611,0.2311456128586097,0.4369223998826463
LightGCN,0.2236013592936316,0.0703168549215197,0.17770381380146,0.2344932777766135,0.446970808273434
VBPR,0.2251430056163238,0.0687399149185858,0.1807693605551848,0.2378016792752013,0.4393428194220331
VBPR,0.2373812740462705,0.0713699690402476,0.1892801609257447,0.2460811956361492,0.4543343653250773
FeatureItemKNN,0.3054600286360517,0.1011919504643962,0.2483949690293969,0.3172632868937048,0.5546439628482972
FeatureItemKNN,0.3019745798227606,0.1035426140531025,0.2485727707448295,0.321587255018383,0.5558896875458412
FeatureItemKNN,0.3009208810170468,0.1033519143318175,0.2476115265621397,0.3196273147663054,0.5543494205662315
ItemKNN,0.3009376126993719,0.1033519143318175,0.2479133029099068,0.3199931136211758,0.5541293824262872
FeatureItemKNN,0.3028258191200287,0.1037479829837171,0.2492810133540758,0.3217956509287006,0.5572099163855069
