model,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,EFD@5,EPC@5,ARP@5,PopREO@5,PopRSP@5,ItemCoverage@5,UserCoverage@5
LightGCNM,0.3381847760290556,0.124364406779661,0.2732988104329637,0.3220294844632768,0.506885593220339,0.6664148596204046,0.1129809806521624,590.1938559322033,0.8548737991420082,0.9840896468162248,80.0,3776.0
BM3,0.3317093548224374,0.1221398305084745,0.2745525631749187,0.3299126059322034,0.5052966101694916,0.6361218575069267,0.1104067777070733,664.6667902542374,0.9586699013025288,0.9969898054658184,29.0,3776.0
LightGCNM,0.3459909705407586,0.1274364406779661,0.2777919526466399,0.3257106285310734,0.5153601694915254,0.6915985389115388,0.1164117119955011,557.5184322033897,0.8451723038858187,0.979559074703214,106.0,3776.0
BM3,0.3434217993341404,0.1257415254237288,0.2799186585374103,0.3343043785310735,0.5182733050847458,0.6605477530611732,0.113315714345238,660.3254237288135,0.8831338052316583,0.992045823404662,65.0,3776.0
BPRMF,0.3405439744753833,0.1260593220338983,0.2800474325047067,0.3354210805084746,0.5172139830508474,0.6722981949768106,0.1148445045030534,633.2021186440678,0.8733352975839718,0.9817830994713052,115.0,3776.0
LATTICE,0.3489633777239709,0.1286546610169491,0.2801437371911217,0.3294182556497175,0.5254237288135594,0.7243505163765465,0.1193936440550043,517.1799258474576,0.6436623842764898,0.9484107754046028,155.0,3776.0
BM3,0.3459203490718321,0.1275423728813559,0.2806522828827426,0.3333642302259887,0.5233050847457628,0.6657041701552739,0.1142411358917102,651.4088983050848,0.9082991733930266,0.9933414106668736,60.0,3776.0
LATTICE,0.347045878732849,0.1279661016949152,0.2815021426672956,0.3318061440677966,0.5235699152542372,0.7225891758128501,0.1194957084409644,519.1179025423729,0.6749602222881941,0.9541378102961164,146.0,3776.0
LightGCNM,0.3529954222154963,0.1298199152542372,0.2844497511930248,0.3328080861581921,0.5283368644067796,0.7211952794888222,0.1198660997656275,534.7939088983051,0.7767888486050735,0.9707362093818926,110.0,3776.0
LightGCNM,0.3530707728006457,0.1295021186440678,0.286758029410245,0.3367981991525424,0.5272775423728814,0.7431965715876757,0.122241017490107,499.1291843220339,0.7062927637533243,0.9640102039911596,117.0,3776.0
BM3,0.353507112590799,0.1300317796610169,0.2873479745736094,0.3400512005649717,0.529396186440678,0.6816166168459165,0.1169455725992774,658.373252118644,0.893397805467733,0.9921385031893069,63.0,3776.0
FREEDOM,0.3587889048627926,0.131885593220339,0.2926873577608006,0.3465395480225988,0.5365466101694916,0.7019096189508033,0.1195944040185207,644.4490995762711,0.8595442293555501,0.9880716026966296,115.0,3776.0
LightGCN,0.3591971852300242,0.133103813559322,0.2933470100284912,0.3451933262711864,0.5357521186440678,0.7399034343683993,0.1233861932492738,558.4386652542372,0.7643344835996762,0.973234718061868,126.0,3776.0
FREEDOM,0.3588860093825666,0.1327860169491525,0.2946131739192007,0.3486184675141243,0.5341631355932204,0.7106603433715363,0.1210878429132902,640.4672669491525,0.860445299280558,0.9880404003561366,117.0,3776.0
FREEDOM,0.3614744123284907,0.1325741525423729,0.2951259780272194,0.3488435734463277,0.5378707627118644,0.7126308535351696,0.1210211297620768,628.4058792372881,0.8477066647105743,0.9869468073147354,114.0,3776.0
FREEDOM,0.3642708963882163,0.1341101694915254,0.2975588545020892,0.3504325564971751,0.5407838983050848,0.7187301280445163,0.1221783866738185,637.4799788135593,0.8401313246819481,0.987478348332827,115.0,3776.0
FeatureItemKNN,0.3740321075464083,0.1375,0.3037724253710436,0.3566693149717514,0.5582627118644068,0.758201220502447,0.1265571217192629,592.9763241525422,0.7296700653001831,0.9671406323515768,155.0,3776.0
FeatureItemKNN,0.3746059069814366,0.1375,0.3072921097969747,0.362791313559322,0.5577330508474576,0.7613186071145679,0.1273175522653822,605.9029661016948,0.7406018620316237,0.9725223942803038,151.0,3776.0
FeatureItemKNN,0.3753253631961258,0.1376588983050847,0.3074922538996149,0.3627604166666666,0.559322033898305,0.7616497189987856,0.1274160317694021,605.9799788135595,0.7436178420870188,0.97216577243051,151.0,3776.0
FeatureItemKNN,0.3752812247780468,0.1376588983050847,0.3076586669679215,0.3638329802259887,0.5598516949152542,0.7626838081213031,0.1275556512249639,605.7618644067796,0.7436178420870188,0.9729758330092276,149.0,3776.0
ItemKNN,0.374729494552058,0.1375,0.3076640970393681,0.3637932556497175,0.5590572033898306,0.7617199773276057,0.1274621274619609,607.7756355932203,0.743350944747918,0.9726843936853452,148.0,3776.0
