model,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10,EFD@10,EPC@10,ARP@10,PopREO@10,PopRSP@10,ItemCoverage@10,UserCoverage@10
Random,0.0490885416666666,0.009030720338983,0.0266354337294746,0.0268201842884046,0.0873940677966101,0.0562884187926202,0.0082459455104336,83.49856991525425,0.0441880193152651,0.0153043543802636,186.0,3776.0
NeuMF,0.247934952582728,0.0461334745762711,0.1846909923129737,0.2220113036386871,0.4022775423728814,0.2920100188184521,0.0492976174675981,319.9003707627118,0.7204720569589389,0.775830352447005,24.0,3776.0
MultiVAE,0.4035695369249394,0.0760328389830508,0.2593501454136346,0.2672402559187516,0.5794491525423728,0.4364198147241176,0.0736556974060487,450.0442531779661,0.9637138828266074,0.982542852334253,179.0,3776.0
GRCN,0.4089326699959644,0.0768273305084745,0.2713261054647138,0.2822927175813828,0.5810381355932204,0.4829593184045478,0.0776685694714223,343.5398569915254,0.4615833952206367,0.829551633088711,185.0,3776.0
GRCN,0.4444376134987893,0.0830243644067796,0.291832497047454,0.2996230368913102,0.619968220338983,0.5108450439549798,0.0829987158002538,385.46994173728814,0.5949116607773851,0.8898163650721089,184.0,3776.0
GRCN,0.4425267352703793,0.0823887711864406,0.2914260078724471,0.3027774625033629,0.6244703389830508,0.5067576332045418,0.0826298712757972,400.4273569915255,0.6228312709501979,0.9079880384239404,185.0,3776.0
MMGCN,0.4291367155972558,0.0794491525423728,0.3014104721606199,0.3307155047753565,0.6080508474576272,0.4638895939607334,0.0801374465478267,544.2483580508475,0.9825091924385518,0.9984521142568844,33.0,3776.0
BiVAECF,0.4324953339386602,0.0796610169491525,0.3024880456353879,0.3292978208232446,0.6136122881355932,0.4670066333907973,0.0805044751196561,529.3226430084746,0.9970761412205428,0.9877906953717612,64.0,3776.0
MMGCN,0.436313307102502,0.0805084745762711,0.3042568243317458,0.3316616432943234,0.6159957627118644,0.4667976025974676,0.0808352041132806,553.1205508474577,1.0,1.0,24.0,3776.0
GRCN,0.4601862010694107,0.0862023305084745,0.3074154726395289,0.3158792162698412,0.636917372881356,0.5302626220908513,0.0869560939102895,418.5198093220339,0.6904138216127845,0.9279033243942132,172.0,3776.0
MostPop,0.4439492534301856,0.081832627118644,0.3074622508195761,0.3328981495493678,0.6220868644067796,0.4712035145808944,0.0816613002000098,561.3097722457628,1.0,1.0,22.0,3776.0
MMGCN,0.4437771135996771,0.0818591101694915,0.3072371350294689,0.3326936415456012,0.6226165254237288,0.4713900901445719,0.0816588590998899,559.223622881356,1.0,1.0,22.0,3776.0
VBPR,0.4645010467110573,0.0863082627118644,0.3100972758248961,0.3214579970406241,0.6477754237288136,0.5343068766418037,0.0874467489593502,412.9241525423729,0.6617969006407932,0.921924139790346,185.0,3776.0
