model,modality,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,EFD@5,EPC@5,ARP@5,PopREO@5,PopRSP@5,ItemCoverage@5,UserCoverage@5
LightGCNM,audio'-'textual'-'visual,0.186,0.0567,0.1568,0.1818,0.2573,0.9412,0.0728,65.5691,0.2512,0.7989,13152.0,62819.0
LightGCNM,audio'-'textual'-'visual'-'emotion,0.1862,0.0567,0.1572,0.1825,0.2575,0.9434,0.0729,62.312,0.2471,0.8008,13452.0,62819.0
FeatureItemKNN,audio'-'textual'-'visual'-'emotion,0.1931,0.0594,0.1636,0.1915,0.2677,1.0168,0.0768,34.9285,0.1025,0.4724,16499.0,62819.0
FeatureItemKNN,audio'-'textual'-'visual,0.1938,0.0596,0.1641,0.1917,0.2681,1.0203,0.0769,33.9059,0.0926,0.4325,16620.0,62819.0
LightGCNM,emotion,0.3831,0.1212,0.2966,0.2911,0.4389,1.7968,0.1397,66.2438,0.3396,0.8266,14459.0,68379.0
LightGCN,,0.3885,0.1229,0.3006,0.2941,0.4445,1.8213,0.1414,73.8322,0.3112,0.8415,14594.0,68379.0
FeatureItemKNN,emotion,0.3997,0.1277,0.3118,0.3033,0.4477,1.9156,0.1478,56.6319,0.2545,0.7096,16854.0,68379.0
ItemKNN,,0.4006,0.1279,0.3126,0.304,0.4484,1.9202,0.1482,56.5272,0.2506,0.6992,17270.0,68379.0
