model,modality,date,Recall@1,Precision@1,nDCG@1,MRR@1,HR@1,Recall@5,Precision@5,nDCG@5,MRR@5,HR@5,Recall@10,Precision@10,nDCG@10,MRR@10,HR@10,Recall@20,Precision@20,nDCG@20,MRR@20,HR@20
FREEDOM,audio,2025_01_14_20_32_45,0.0459648582742721,0.131876191873258,0.131876191873258,0.131876191873258,0.131876191873258,0.1492650502214484,0.0909050902156373,0.1428460811945935,0.2041599432790572,0.3285902889834238,0.2077845346384764,0.0662241455185565,0.1635919944447885,0.2172049742590303,0.425480416605545,0.2696107236539388,0.0453681971541733,0.1849399988217172,0.2234124114645306,0.5138624028164882
LightGCNM,textual,2025_01_14_22_24_54,0.0472565699394838,0.1329763825729793,0.1329763825729793,0.1329763825729793,0.1329763825729793,0.1508124387017565,0.0899809300278715,0.1433862420787511,0.2044838883184196,0.3295437875898489,0.2071398415271051,0.0652119700748129,0.1636864927130995,0.2170467272528296,0.4229133049728619,0.2647805280755474,0.043886607011882,0.1836557048606237,0.2230156688814412,0.5081414111779375
FREEDOM,textual,2025_01_15_00_22_51,0.0468533126544741,0.1345166495525891,0.1345166495525891,0.1345166495525891,0.1345166495525891,0.1496273409373236,0.0914331817515035,0.1435842518474924,0.2051427803041416,0.3283702508434795,0.2063357928557768,0.066165468681238,0.1635316328852467,0.2179274328185139,0.4227666128795658,0.2684945534360898,0.0451628282235587,0.1847010353442087,0.2242734860004289,0.5146692093296171
FREEDOM,emotion,2025_01_14_16_05_10,0.047759311034962,0.1334898048995159,0.1334898048995159,0.1334898048995159,0.1334898048995159,0.149993573948107,0.0916238814727886,0.144171079011894,0.2042650726125861,0.3285902889834238,0.2084527820871751,0.0669942790083614,0.1649514505258213,0.2168368469582346,0.4226932668329177,0.267465718028657,0.0451628282235587,0.1850958858492358,0.2229561942619065,0.5097550242041954
VBPR,emotion,2025_01_14_20_23_20,0.0505707369492419,0.1396508728179551,0.1396508728179551,0.1396508728179551,0.1396508728179551,0.1525099737081124,0.0895408537479829,0.145584056459099,0.2079397095496553,0.3254364089775561,0.1981722607265878,0.0611119260671849,0.1614708714592023,0.2175802615310463,0.3970954965527358,0.2400257122314996,0.0386937069091975,0.1757154654095205,0.2221477984375477,0.4625935162094763
GRCN,audio,2025_01_14_21_48_18,0.048562634938354,0.1399442570045474,0.1399442570045474,0.1399442570045474,0.1399442570045474,0.1533714911319108,0.0944403696640751,0.1483653649108941,0.2141227812820889,0.3426727299398562,0.2083639231874265,0.0673023324042834,0.167115291620566,0.2261236206868449,0.4325216370837612,0.2679210567932605,0.045419539386827,0.1874647973580402,0.2320851035037358,0.5181898195687252
LATTICE,emotion,2025_01_14_17_15_37,0.0501338717494672,0.1388440663048261,0.1388440663048261,0.1388440663048261,0.1388440663048261,0.1641444545160803,0.0945430541293824,0.1524279543789083,0.2146227568334066,0.3477336071585741,0.2201250113419872,0.06685492151973,0.1728441156586445,0.2267529414093152,0.4378758984890714,0.2781040452162187,0.0445613906410444,0.1930147856482363,0.2327723870578995,0.523984157253924
BPRMF,,2025_01_14_17_17_10,0.0500405650052936,0.1385506821182338,0.1385506821182338,0.1385506821182338,0.1385506821182338,0.1631569804913691,0.0951151532932375,0.1530217415756695,0.2154674588039704,0.3438462666862256,0.2148856025040803,0.0654833504474108,0.171375923907082,0.2264741100097562,0.4259204928854335,0.2655216505033215,0.0425773800792137,0.1889796324798841,0.2316716031798488,0.5003667302332404
VBPR,textual,2025_01_15_04_40_06,0.0517765801153359,0.1422913304972862,0.1422913304972862,0.1422913304972862,0.1422913304972862,0.1656409631145973,0.0967581047381546,0.1561415417907412,0.2192814532296709,0.348467067625055,0.2204732395382372,0.0674930321255684,0.1756646100304611,0.2311456128586097,0.4369223998826463,0.2730685654140561,0.0436372304532785,0.1937095788412403,0.2362848387362827,0.5107818688572686
LightGCN,,2025_01_14_18_55_43,0.0519877034257539,0.1460319788763385,0.1460319788763385,0.1460319788763385,0.1460319788763385,0.1640068906538228,0.0982983717177644,0.1564735946818549,0.2218766808469023,0.3525744462373478,0.2236013592936316,0.0703168549215197,0.17770381380146,0.2344932777766135,0.446970808273434,0.2844272017795379,0.0466774240868417,0.1985172055552538,0.2405487216017375,0.5332991051782309
VBPR,audio,2025_01_15_00_35_27,0.0557429112745104,0.1510195100484083,0.1510195100484083,0.1510195100484083,0.1510195100484083,0.1717975508128402,0.1001466920932961,0.1620223079092209,0.2269864554300523,0.3585154760158427,0.2251430056163238,0.0687399149185858,0.1807693605551848,0.2378016792752013,0.4393428194220331,0.2762638590845132,0.044194660407804,0.1983362049252231,0.243107460950411,0.515476015842746
FeatureItemKNN,textual,2025_01_15_07_13_11,0.0712026253867248,0.2148305706322429,0.2148305706322429,0.2148305706322429,0.2148305706322429,0.2238827397980298,0.1450344726419246,0.2225825457871992,0.3092599383893208,0.4650872817955112,0.3019745798227606,0.1035426140531025,0.2485727707448295,0.321587255018383,0.5558896875458412,0.3718704301153954,0.0675517089628869,0.2726189952461114,0.3264646143674158,0.6253483937215784
FeatureItemKNN,emotion,2025_01_14_23_49_41,0.0702857767606624,0.212336805046208,0.212336805046208,0.212336805046208,0.212336805046208,0.2252614294678458,0.1455185565498019,0.2226505737640101,0.3076707740452789,0.464867243655567,0.3009208810170468,0.1033519143318175,0.2476115265621397,0.3196273147663054,0.5543494205662315,0.3695102372003311,0.0671519730086548,0.2711528348320187,0.3243722586126853,0.6216810913891742
ItemKNN,,2025_01_14_16_21_46,0.0709337316145546,0.2131436115593369,0.2131436115593369,0.2131436115593369,0.2131436115593369,0.2248150171102157,0.1454305412938242,0.2227660951275018,0.3080741773018434,0.4647938976089188,0.3009376126993719,0.1033519143318175,0.2479133029099068,0.3199931136211758,0.5541293824262872,0.3691352541896089,0.067162974915652,0.2713709250737065,0.3247199588806814,0.6213143611559337
FeatureItemKNN,audio,2025_01_15_02_25_23,0.0711921360618391,0.2142438022590582,0.2142438022590582,0.2142438022590582,0.2142438022590582,0.2263826430071896,0.146281355434942,0.2240729057817423,0.3098430394601731,0.4685345459879712,0.3028258191200287,0.1037479829837171,0.2492810133540758,0.3217956509287006,0.5572099163855069,0.3725312285038136,0.0675150359395628,0.2731850300859854,0.3265815356665221,0.6253483937215784
